,team,rank,goal_diff,points,season
0,Leverkusen,1,65,90,2024
1,Stuttgart,2,39,73,2024
2,Bayern,3,49,72,2024
3,RB Leipzig,4,38,65,2024
4,Dortmund,5,25,63,2024
5,Frankfurt,6,1,47,2024
6,Hoffenheim,7,0,46,2024
7,Heidenheim,8,-5,42,2024
8,Bremen,9,-6,42,2024
9,Freiburg,10,-13,42,2024
10,Augsburg,11,-10,39,2024
11,Wolfsburg,12,-15,37,2024
12,Mainz,13,-12,35,2024
13,M'gladbach,14,-11,34,2024
14,Union Berlin,15,-25,33,2024
15,VfL Bochum,16,-32,33,2024
16,Köln,17,-32,27,2024
17,Darmstadt,18,-56,17,2024
