,team,mean_age,mean_value,season
0,FC Bayern München,25.7,948.95,2023
1,Borussia Dortmund,25.1,567.55,2023
2,RB Leipzig,26.0,486.4,2023
3,Bayer 04 Leverkusen,24.8,452.5,2023
4,Eintracht Frankfurt,25.6,324.55,2023
5,Borussia Mönchengladbach,25.9,241.68,2023
6,VfL Wolfsburg,25.1,238.3,2023
7,SC Freiburg,26.5,200.95,2023
8,TSG 1899 Hoffenheim,26.2,178.8,2023
9,1.FC Union Berlin,27.4,157.95,2023
10,VfB Stuttgart,23.7,151.05,2023
11,1.FSV Mainz 05,25.2,135.8,2023
12,FC Augsburg,25.6,132.23,2023
13,1.FC Köln,25.4,115.65,2023
14,Hertha BSC,25.8,94.0,2023
15,SV Werder Bremen,25.2,89.5,2023
16,FC Schalke 04,26.9,87.78,2023
17,VfL Bochum,28.3,53.7,2023
